id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime,Indoor,Popularity,ood_Type
0,成都大熊猫繁育研究基地,游乐园/体育娱乐,30.747146,104.145729,全年,07:30,17:00,55.0,0.5,2.0,0,8,其它
1,都江堰景区,自然风光,31.00793,103.617627,全年,08:00,18:00,80.0,0.0,1.5,0,8,"河边,古风写真"
2,武侯祠,历史古迹,30.652927,104.054625,全年,08:30,19:00,50.0,2.0,3.5,1,6,古风写真
3,杜甫草堂,历史古迹,30.666527,104.034938,全年,08:30,19:00,50.0,2.5,4.0,1,6,古风写真
4,青城山,自然风光,30.911742,103.569195,全年,08:30,17:30,80.0,0.5,1.0,0,6,其它
5,金沙遗址博物馆,博物馆/纪念馆,30.687728,104.019188,全年,09:00,18:00,66.0,2.5,3.0,1,6,其它
6,成都博物馆,博物馆/纪念馆,30.663457,104.070226,全年,09:00,17:00,0.0,1.0,1.5,1,7,其它
7,蜀风雅韵川剧院,人文景观,30.666437,104.052651,全年,09:00,21:30,120.0,0.0,1.0,1,6,其它
8,都江堰中华大熊猫苑(原熊猫乐园),游乐园/体育娱乐,30.866632,103.583705,全年,08:30,17:00,53.0,1.5,2.0,0,8,其它
9,文殊坊,商业街区,30.678921,104.079826,全年,00:00,24:00,0.0,0.0,1.0,1,6,"古风写真,约会圣地"
11,四川省川剧院,人文景观,30.657672,104.075232,全年,20:00,21:20,80.0,3.0,4.0,1,6,其它
12,熊猫谷,自然风光,30.968148,103.596947,全年,07:30,18:00,0.0,1.5,2.0,0,8,其它
13,文殊院,历史古迹,30.681322,104.079,全年,08:00,17:00,0.0,1.5,3.0,1,6,古风写真
14,成都自然博物馆,博物馆/纪念馆,30.684748,104.150995,全年,09:00,17:00,20.0,1.5,3.0,1,6,其它
15,成都动物园,游乐园/体育娱乐,30.715302,104.112537,全年,08:00,17:30,20.0,1.5,2.0,0,8,其它
16,宽窄巷子,商业街区,30.669938,104.059763,全年,00:00,24:00,0.0,1.0,2.0,0,8,"古风写真,约会圣地"
17,成都欢乐谷,游乐园/体育娱乐,30.728966,104.040363,全年,10:00,21:00,150.0,2.0,3.0,0,8,其它
18,成都极地海洋公园,游乐园/体育娱乐,30.500235,104.080551,全年,09:30,17:30,255.0,2.5,4.0,1,8,其它
19,锦里古街,商业街区,30.651906,104.056257,全年,00:00,24:00,0.0,1.0,2.0,0,8,"古风写真,约会圣地"
20,四川博物院,博物馆/纪念馆,30.666735,104.040142,全年,09:00,17:00,0.0,2.0,3.0,1,6,其它
21,西岭雪山,自然风光,30.691077,103.195276,全年,09:00,17:00,60.0,2.0,3.0,0,6,其它
22,成都夜游锦江,人文景观,30.648064,104.089764,全年,14:00,22:00,0.0,3.0,4.0,0,8,"江边,约会圣地"
23,春熙路,商业街区,30.662751,104.084506,全年,00:00,24:00,0.0,2.5,4.0,0,8,约会圣地
24,盖碗儿梨园•川剧变脸吐火表演剧院•非遗传承展示基地(天府广场店),人文景观,30.663969,104.073195,全年,10:00,21:30,118.0,2.5,3.0,1,6,其它
25,青城后山,自然风光,30.927146,103.487698,全年,09:00,18:00,20.0,2.0,3.0,0,6,其它
26,锦门·沉浸式民国景区,文化旅游区,30.785711,104.136014,全年,00:00,24:00,0.0,0.0,1.0,1,6,"古风写真,约会圣地"
27,梅花剧社·非遗川剧变脸,人文景观,30.659287,104.096228,全年,09:30,21:00,38.0,3.0,4.0,1,6,其它
28,东郊记忆,文化旅游区,30.674722,104.1296,全年,00:00,24:00,0.0,2.5,4.0,1,6,其它
29,川西竹海景区,自然风光,30.346695,103.324548,全年,08:00,17:00,57.0,3.0,3.5,0,6,其它
30,成都天台山旅游景区,自然风光,30.280143,103.125223,全年,08:30,18:00,55.0,1.5,3.0,0,6,其它
31,环球中心海洋乐园,游乐园/体育娱乐,30.57505,104.070778,全年,10:00,18:00,165.0,0.0,1.5,1,8,其它
32,成都环球中心,商业街区,30.574961,104.066151,全年,10:00,22:00,0.0,2.0,2.5,1,6,其它
33,成都融创乐园,游乐园/体育娱乐,30.960377,103.629269,全年,00:00,24:00,69.9,2.5,3.0,1,6,其它
34,成都融创文旅城,游乐园/体育娱乐,30.96463,103.623171,全年,00:00,24:00,99.0,2.0,2.5,1,6,其它
35,黄龙溪,历史古迹,30.324119,103.976709,全年,00:00,24:00,0.0,1.5,3.0,0,6,"河边,古风写真"
36,洛带古镇,历史古迹,30.642898,104.332232,全年,00:00,24:00,0.0,2.5,3.0,0,6,"古风写真,约会圣地"
37,四川科技馆,博物馆/纪念馆,30.666088,104.072224,全年,09:00,17:00,0.0,1.0,1.5,1,6,其它
38,天府广场,商业街区,30.663443,104.072424,全年,00:00,24:00,0.0,3.0,3.5,0,8,其它
39,成都市人民公园,公园,30.663607,104.063684,全年,06:30,22:00,0.0,0.5,1.0,0,6,其它
40,成都融创水世界,游乐园/体育娱乐,30.958704,103.626071,全年,10:00,18:00,99.0,3.0,4.0,1,6,其它
41,四川建川博物馆聚落,博物馆/纪念馆,30.505602,103.625958,全年,09:00,17:30,68.0,1.0,2.0,1,6,其它
42,安仁古镇,历史古迹,30.513598,103.626007,全年,00:00,24:00,0.0,0.0,1.0,0,6,古风写真
43,成都热雪奇迹,游乐园/体育娱乐,30.958874,103.626574,全年,10:00,20:00,128.0,0.5,1.0,1,6,其它
44,音乐百花谷,游乐园/体育娱乐,30.772131,104.169104,全年,09:00,18:00,0.0,2.0,3.5,0,6,其它
45,刘氏庄园博物馆,博物馆/纪念馆,30.510271,103.632788,全年,09:00,17:00,20.0,2.5,3.0,1,5,其它
47,宝光寺,历史古迹,30.837922,104.167001,全年,08:00,17:30,0.0,3.0,4.0,1,6,古风写真
48,联华梨园社·春熙剧场川剧变脸秀,游乐园/体育娱乐,30.66455,104.08438,全年,10:30,22:30,108.0,0.0,1.5,1,6,其它
49,海滨城浩海立方海洋公园,游乐园/体育娱乐,30.609978,103.916696,全年,09:00,22:00,188.0,1.0,1.5,1,6,约会圣地
50,蛟龙港·海滨城,游乐园/体育娱乐,30.609948,103.916269,全年,09:00,22:00,0.0,1.0,2.0,0,6,约会圣地
52,九眼桥,人文景观,30.645775,104.095658,全年,00:00,24:00,0.0,2.0,3.5,0,5,"河边,约会圣地"
53,ARTE全沉浸式美术馆·成都,美术馆/艺术馆,30.674933,104.128718,全年,10:30,21:30,69.0,0.5,1.0,1,6,其它
54,黄龙溪欢乐田园,游乐园/体育娱乐,30.338163,103.989587,全年,09:00,18:00,168.0,0.0,1.0,0,6,其它
56,青羊宫,历史古迹,30.666364,104.047565,全年,08:00,17:00,0.0,1.0,2.0,1,6,古风写真
57,蜀兿剧院·变脸川剧·盖碗茶,人文景观,30.679354,104.07915,全年,10:00,21:00,49.9,2.0,3.5,1,6,其它
58,成都欢乐谷奥特曼主题馆,游乐园/体育娱乐,30.729274,104.034719,全年,10:30,18:00,0.0,2.0,3.0,1,6,其它
59,仰天窝广场,公园,30.9996,103.629338,全年,00:00,24:00,0.0,2.0,3.0,1,4,其它
60,成都永陵博物馆,博物馆/纪念馆,30.680813,104.053622,全年,08:30,18:00,20.0,1.0,2.0,1,6,古风写真
61,立巢航空博物馆,博物馆/纪念馆,30.575183,104.067648,全年,10:00,18:00,158.0,3.0,3.5,1,6,其它
62,浣花溪公园,公园,30.663799,104.035644,全年,06:00,22:00,0.0,0.5,2.0,0,6,"河边,约会圣地"
63,国色天乡陆地乐园,游乐园/体育娱乐,30.728612,103.829031,全年,09:00,18:00,0.0,1.5,2.0,0,6,其它
64,成都川菜博物馆,博物馆/纪念馆,30.901292,103.937026,全年,09:00,18:00,58.5,2.5,3.0,1,6,其它
65,云顶水乡旅游度假区,游乐园/体育娱乐,30.166082,103.441957,全年,10:00,18:00,0.0,0.0,1.5,0,6,"河边,约会圣地"
66,成都植物园,公园,30.771388,104.135259,全年,07:00,19:00,10.0,2.5,4.0,0,6,其它
67,街子古镇,历史古迹,30.820081,103.56491,全年,00:00,24:00,0.0,2.5,3.0,0,6,"古风写真,约会圣地"
68,龙泉驿欢乐田园,游乐园/体育娱乐,30.610837,104.257597,全年,10:00,18:00,69.0,2.0,3.0,0,6,其它
69,熊猫时空馆,博物馆/纪念馆,30.738261,104.153089,全年,09:00,16:30,49.9,3.0,3.5,1,6,其它
70,奎星楼街,商业街区,30.673758,104.061658,全年,00:00,24:00,0.0,0.0,1.0,1,5,其它
71,大慈寺,历史古迹,30.659906,104.090804,全年,08:00,17:30,0.0,2.0,3.0,1,6,古风写真
72,琴台故径,历史古迹,30.668842,104.053398,全年,00:00,24:00,0.0,2.0,3.0,1,4,"古风写真,约会圣地"
73,花舞人间,游乐园/体育娱乐,30.395208,103.804054,全年,08:30,17:30,74.0,1.0,2.0,0,6,其它
75,灌县古城,历史古迹,31.001108,103.629505,全年,00:00,24:00,0.0,0.5,2.0,0,6,古风写真
76,离堆公园,公园,31.002543,103.619895,全年,08:30,17:30,0.0,0.0,1.5,0,6,河边
77,蜀宴赋,人文景观,30.673495,104.129581,全年,10:00,22:00,0.0,3.0,4.0,1,6,其它
78,三和老爷车博物馆,博物馆/纪念馆,30.604144,104.047511,全年,09:00,17:00,98.0,1.0,2.0,1,5,其它
79,安澜桥,历史古迹,31.011419,103.614706,全年,00:00,24:00,0.0,1.5,3.0,0,5,"河边,古风写真"
80,泰安古镇,文化旅游区,30.926806,103.497642,全年,00:00,24:00,0.0,1.0,1.5,0,6,古风写真
81,生命奥秘博物馆,博物馆/纪念馆,30.66384,104.072988,全年,10:00,21:30,89.0,0.0,1.0,1,6,其它
82,都江堰景区鱼嘴分水堤,历史古迹,31.008555,103.615378,全年,00:00,24:00,0.0,2.0,3.0,0,6,河边
83,一片森林儿童博物馆,游乐园/体育娱乐,30.468949,104.063024,全年,00:00,24:00,89.0,1.0,2.5,1,6,其它
84,南湖梦幻岛,游乐园/体育娱乐,30.505338,104.060343,全年,09:30,17:30,139.0,1.0,2.0,0,6,约会圣地
85,成都大熊猫博物馆,博物馆/纪念馆,30.739731,104.153051,全年,09:00,17:00,0.0,1.0,2.0,1,8,其它
86,金龙长城,历史古迹,30.683219,104.3783,全年,09:00,17:00,0.0,2.0,3.5,0,6,其它
88,国色天乡童话世界,游乐园/体育娱乐,30.728271,103.829115,全年,09:30,18:00,0.0,2.5,4.0,1,6,其它
89,成都city tour观光巴士,游乐园/体育娱乐,30.650532,104.056281,全年,09:00,18:00,0.0,2.0,3.0,0,6,其它
90,四川美术馆,美术馆/艺术馆,30.664741,104.068022,全年,09:00,17:00,0.0,2.5,3.0,1,6,其它
91,青羊区图书馆,其它,30.672348,104.003689,全年,09:00,20:30,0.0,0.5,2.0,1,5,其它
92,明蜀王陵博物馆,博物馆/纪念馆,30.649089,104.195407,全年,09:00,17:00,0.0,2.5,3.0,1,6,古风写真
94,昭觉寺,历史古迹,30.714256,104.112468,全年,08:00,17:00,0.0,0.0,1.5,1,6,古风写真
95,二王庙,历史古迹,31.012162,103.61688,全年,08:00,18:00,0.0,1.0,2.0,1,5,其它
96,成都文殊坊妙剧场,人文景观,30.678786,104.078422,全年,10:00,22:00,0.0,2.0,3.0,1,5,其它
97,道明竹艺村,人文景观,30.656722,103.596845,全年,00:00,24:00,0.0,2.0,3.0,1,5,其它
99,青城前山-索道,游乐园/体育娱乐,30.916786,103.572873,全年,08:30,17:30,0.0,1.0,1.5,0,6,其它
100,熊猫剧院,人文景观,30.748886,104.142326,全年,10:00,17:30,0.0,0.5,2.0,1,6,其它
101,洛带博客楼,人文景观,30.640831,104.336037,全年,09:00,18:00,0.0,1.5,2.0,1,6,古风写真
102,平乐古镇,历史古迹,30.348685,103.339879,全年,00:00,24:00,0.0,2.0,3.5,0,6,"古风写真,约会圣地"
103,杰克船长的奇幻动物世界,游乐园/体育娱乐,30.671915,104.131434,全年,10:00,18:00,128.0,2.5,3.0,1,6,其它
105,蔚然花海,公园,30.635832,104.321604,全年,09:00,23:00,39.9,0.5,1.0,0,6,其它
106,明月村,人文景观,30.268139,103.347255,全年,00:00,24:00,0.0,2.5,4.0,0,4,其它
107,成都悬空玻璃艺术馆,美术馆/艺术馆,30.66311,104.085116,全年,09:30,22:00,38.8,3.0,3.5,1,6,其它
108,元通古镇,历史古迹,30.739243,103.631826,全年,00:00,24:00,0.0,0.0,1.5,0,6,"古风写真,约会圣地"
109,三岔湖景区,自然风光,30.282867,104.275767,全年,00:00,24:00,0.0,1.0,2.0,0,5,"河边,约会圣地"
110,成都鹿尔花园,公园,30.698261,103.782867,全年,10:00,18:00,58.9,1.0,1.5,1,6,其它
111,蜀兿剧院·川剧表演(太古里店),人文景观,30.65449,104.090196,全年,10:00,21:00,49.9,0.5,1.0,1,6,其它
112,小熊猫森林公园,公园,31.053038,103.732118,全年,09:10,16:50,0.0,1.5,2.0,0,6,其它
113,望江楼公园,公园,30.63521,104.099306,全年,09:00,18:00,0.0,2.5,3.0,0,6,"江边,古风写真"
115,飞沙堰,人文景观,31.004986,103.61804,全年,00:00,24:00,0.0,2.0,3.0,0,6,河边
116,日月坪,自然风光,30.698681,103.175399,全年,08:00,21:00,240.0,1.0,2.0,0,6,其它
117,空港花田,公园,30.512164,103.94015,全年,09:00,18:00,0.0,0.0,1.5,0,6,其它
119,丹景山,自然风光,31.086128,103.840218,全年,09:00,17:00,10.0,3.0,4.0,0,6,其它
120,成都松鼠部落,游乐园/体育娱乐,30.41187,104.155789,全年,10:00,18:00,58.0,2.5,4.0,0,6,其它
121,成都IFS雕塑庭院雕塑庭院,商业街区,30.6608,104.088056,全年,10:00,22:00,0.0,2.0,3.0,0,6,其它
122,罨画池,公园,30.633588,103.680943,全年,09:00,17:30,8.0,1.0,2.0,1,4,古风写真
123,蓝色气流跳伞滑翔伞俱乐部,游乐园/体育娱乐,30.613785,104.087572,全年,09:30,18:00,500.0,0.0,1.5,0,6,其它
124,四川大学(望江校区),大学校园,30.637031,104.090633,全年,09:00,18:00,0.0,0.0,1.0,0,6,其它
125,天府花溪谷,游乐园/体育娱乐,30.719144,103.437356,全年,09:00,17:30,0.0,1.5,2.0,0,6,其它
126,荒野之国,自然风光,30.460982,104.071403,全年,10:00,18:00,0.0,0.5,1.0,0,6,其它
127,麓湖水城,公园,30.463408,104.075108,全年,10:00,18:00,18.6,2.0,2.5,0,6,"河边,约会圣地"
128,梵高星空艺术馆（成都春熙路旗舰店）,美术馆/艺术馆,30.661942,104.087136,全年,09:00,22:00,49.9,3.0,3.5,1,6,其它
129,南宝山旅游度假区,游乐园/体育娱乐,30.478682,103.221808,全年,08:00,17:30,0.0,1.0,2.0,0,6,其它
130,四川活体昆虫博物馆,博物馆/纪念馆,30.74399,103.998172,全年,10:00,19:00,78.0,0.5,1.0,1,5,其它
132,青龙湖湿地公园,公园,30.645789,104.19914,全年,06:00,21:30,0.0,0.0,1.0,0,6,"河边,约会圣地"
134,月城湖,自然风光,30.908077,103.57515,全年,00:00,24:00,0.0,0.0,1.0,0,5,河边
136,成都蜀锦织绣博物馆,博物馆/纪念馆,30.663515,104.043405,全年,09:00,17:30,0.0,1.0,2.0,1,6,其它
137,老君山,自然风光,30.397335,103.813946,全年,00:00,24:00,0.0,1.0,2.5,0,6,其它
138,锦江剧场,人文景观,30.665563,104.086836,全年,10:00,22:00,78.0,0.5,1.0,1,6,其它
139,西岭雪山大飞水风景区,自然风光,30.635416,103.179058,全年,09:00,17:00,30.0,2.0,2.5,0,6,其它
140,紫坪铺水库,自然风光,31.040021,103.581625,全年,00:00,24:00,0.0,3.0,3.5,0,4,河边
141,东安湖公园,公园,30.597356,104.23172,全年,08:00,18:00,0.0,2.0,2.5,0,6,"河边,约会圣地"
142,中国泰迪熊博物馆,博物馆/纪念馆,30.643965,103.804057,全年,10:00,17:00,50.0,1.0,2.0,1,5,其它
143,大熊猫月亮产房,游乐园/体育娱乐,30.745441,104.145819,全年,07:30,17:30,0.0,3.0,3.5,1,6,其它
144,成都市天府艺术公园,公园,30.71766,104.024903,全年,00:00,24:00,0.0,0.5,2.0,1,6,其它
145,成都市天府美术馆,美术馆/艺术馆,30.718928,104.031105,全年,10:00,21:30,0.0,0.5,2.0,1,6,其它
146,安顺廊桥,人文景观,30.647839,104.092643,全年,00:00,24:00,0.0,2.0,3.0,1,4,"河边,约会圣地"
147,水井坊博物馆,博物馆/纪念馆,30.651294,104.092617,全年,09:00,17:00,0.0,0.5,2.0,1,6,其它
148,人民公园,公园,30.403321,104.552927,全年,06:30,22:00,0.0,0.0,1.5,0,6,其它
149,超级时空魔方(成都)元宇宙体验馆,游乐园/体育娱乐,30.662215,104.086992,全年,10:00,22:00,98.0,1.0,2.5,1,6,其它
151,地心引力减压娱乐蹦床团建中心,游乐园/体育娱乐,30.592642,104.162402,全年,10:00,22:00,198.0,3.0,4.0,1,5,其它
152,飞跃四川(春熙路茂业百货店),商业街区,30.66311,104.085116,全年,10:00,21:30,39.9,1.0,2.0,1,6,其它
153,九龙沟漂流,游乐园/体育娱乐,30.803485,103.525231,全年,09:00,17:00,128.0,1.5,2.0,0,6,"河边,约会圣地"
154,鱼嘴滑翔伞俱乐部(都江堰店),游乐园/体育娱乐,31.017887,103.595699,全年,00:00,18:00,100.0,1.0,1.5,0,6,其它
155,塔子山公园,公园,30.642819,104.128828,全年,09:00,18:00,0.0,0.0,1.5,0,6,其它
157,大熊猫1号别墅,游乐园/体育娱乐,30.743564,104.145166,全年,07:30,18:00,0.0,2.5,4.0,1,6,其它
159,禧来蜀韵园,人文景观,30.669794,104.059382,全年,09:00,22:30,0.0,3.0,3.5,1,6,古风写真
160,成都画院,美术馆/艺术馆,30.67143,104.058614,全年,10:00,21:30,0.0,2.5,4.0,1,5,其它
161,水利工程,其它,31.006892,103.617464,全年,08:30,17:00,0.0,0.5,1.0,0,5,其它
162,成都科幻馆,其它,30.796021,103.857085,全年,10:00,18:00,0.0,0.5,2.0,1,6,其它
163,金沙遗址博物馆乌木林,博物馆/纪念馆,30.685706,104.0194,全年,00:00,24:00,0.0,2.0,3.5,1,6,其它
164,铁像寺水街,商业街区,30.563896,104.055545,全年,00:00,24:00,0.0,1.5,2.0,1,5,"河边,古风写真"
165,西蜀第一街牌坊,商业街区,30.653794,104.056252,全年,00:00,24:00,0.0,3.0,3.5,0,6,古风写真
166,五凤溪古镇,历史古迹,30.61175,104.489522,全年,00:00,17:00,0.0,3.0,3.5,0,6,"古风写真,约会圣地"
167,伏龙观,历史古迹,31.003425,103.619584,全年,08:30,17:00,0.0,1.0,2.0,1,5,其它
168,四川省图书馆,博物馆/纪念馆,30.665029,104.069908,全年,09:00,21:00,0.0,3.0,4.0,1,6,其它
169,成都世纪城新国际会展中心,商业街区,30.562176,104.084309,全年,09:00,19:00,0.0,2.0,3.5,1,6,其它
171,七重空间大国重器互动体验馆,游乐园/体育娱乐,30.63315,103.996615,全年,10:00,17:00,0.0,3.0,3.5,1,6,其它
172,成都市凤凰山体育公园,游乐园/体育娱乐,30.774597,104.084673,全年,00:00,24:00,0.0,0.0,1.0,0,6,其它
173,西岭峡谷漂流,游乐园/体育娱乐,30.68146,103.263086,全年,00:00,24:00,98.0,3.0,3.5,0,6,"河边,约会圣地"
174,洛带恐龙大世界,游乐园/体育娱乐,30.68075,104.376803,全年,09:00,17:30,29.9,1.0,2.0,1,5,其它
175,问花村,人文景观,30.831192,103.590189,全年,08:30,18:00,29.0,2.0,3.0,0,5,其它
176,犀浦,商业街区,30.759317,103.979253,全年,00:00,24:00,0.0,1.0,2.0,0,3,其它
177,刘湘墓,红色景点,30.654267,104.054163,全年,00:00,24:00,0.0,0.0,1.5,0,3,其它
178,东门市井,人文景观,30.623592,104.131785,全年,00:00,24:00,0.0,0.0,1.5,1,6,"古风写真,约会圣地"
180,成都独角兽星空艺术馆,美术馆/艺术馆,30.663499,104.085168,全年,10:00,22:00,49.9,2.0,3.5,1,6,其它
181,熊猫主题邮局,商业街区,30.666271,104.063326,全年,09:00,20:00,0.0,1.0,1.5,1,4,其它
182,成都市文化公园,公园,30.666781,104.049488,全年,06:00,22:00,0.0,2.0,3.0,1,6,其它
183,玉垒阁,人文景观,31.007591,103.621034,全年,08:00,17:30,0.0,0.5,2.0,1,6,其它
